"id_videos_touros","id_touros","link_videos_touros","link_miniatura_video"
0,2,https://www.youtube.com/embed/vOHNSwc67oA,assets/imagens/enviados/p2016823164352.jpg
1,1,https://www.youtube.com/embed/waqXca-Jegs,assets/imagens/enviados/p201682311451.jpg
3,3,assets/videos/videos_touros/3/titanio_agua_fria_2.mp4,assets/imagens/enviados/titanio_da_agua_fria_baixa2.jpg
4,4,assets/videos/videos_touros/4/absoluto_agua_fria_video.mp4,assets/imagens/enviados/absoluto_aguafria_jg.jpeg
